gene-cCRE pairs	PCC	p-value	FDR
0610009B22Rik|cCREs39865	0.495824036582226	0.00455543093287969	0.0333552074346416
0610009B22Rik|cCREs39907	0.454351213530741	0.00837469401252045	0.0476900068156145
1110059E24Rik|cCREs126098	0.502006805532725	0.00414502085500323	0.031665984707151
1600014C10Rik|cCREs214823	0.515214484571105	0.00337719757350907	0.0281749437975577
1700001L19Rik|cCREs67850	0.716538460577216	8.63891100001402e-05	0.00452222211660553
1700001L19Rik|cCREs67885	0.685543948541956	0.000162438454794689	0.00587421398153698
1700001L19Rik|cCREs67899	0.524715591193686	0.00290662962411625	0.0259402705613252
1700001L19Rik|cCREs67905	0.627490684860516	0.000496200500406996	0.00986874872483926
1700010I14Rik|cCREs106309	0.519698013254585	0.00314721333299883	0.0270636791185033
1700010I14Rik|cCREs106370	0.528105698626048	0.00275360109295197	0.0251291516292712
1700017B05Rik|cCREs243804	0.455836197608847	0.00820007139857892	0.0471118571025432
1700017B05Rik|cCREs243849	0.516804659389826	0.00329395507886676	0.0277432382268028
1700025G04Rik|cCREs14547	0.613409183332948	0.00064222081275811	0.0112538447897473
1700025G04Rik|cCREs14563	0.577323177265883	0.00121571064967807	0.0160068600477375
1700030K09Rik|cCREs231472	0.454787791876232	0.00832302006523944	0.0475186273596165
1700034J05Rik|cCREs212796	0.536974603851961	0.00238705829326225	0.023191029080754
1700034J05Rik|cCREs212798	0.499950202456022	0.00427770984576781	0.0322522289272642
1700056E22Rik|cCREs18918	0.522476021589989	0.00301188597346613	0.0264670296763079
1700056E22Rik|cCREs18919	0.621347056995771	0.000555650889035753	0.0104540374397521
1700056E22Rik|cCREs18921	0.49190788719078	0.00483379000656503	0.0345078276749133
1700056E22Rik|cCREs18924	0.639437673362674	0.0003970986712869	0.00876652542864826
1700056E22Rik|cCREs18925	0.71996582666481	8.04410978492154e-05	0.00442780925121304
1700056E22Rik|cCREs18931	0.566445987754	0.00146410707103017	0.0175999743395726
1700056E22Rik|cCREs18939	0.665626292830576	0.000240592072210055	0.00689936603818428
1700056E22Rik|cCREs18941	0.777189049149367	2.33795102917433e-05	0.00290546425368213
1700123O20Rik|cCREs78335	0.470633654390418	0.00662739331730444	0.0415317637734449
1810037I17Rik|cCREs162051	0.511807063290009	0.00356196665363939	0.0290552417119302
2010300C02Rik|cCREs3052	0.784670857356556	1.97678968185677e-05	0.00289723065092085
2010300C02Rik|cCREs3061	0.725496956290396	7.1648015799064e-05	0.00430792864959765
2010300C02Rik|cCREs3062	0.51266846408691	0.00351441900056693	0.0288641116703905
2300009A05Rik|cCREs244622	0.454358800892643	0.00837379356358225	0.0476900068156145
2310009B15Rik|cCREs13591	0.54024727018153	0.00226336837737762	0.0224430172819483
2410131K14Rik|cCREs193151	0.497224435649195	0.00445941990418286	0.0329813603912634
2410131K14Rik|cCREs193157	0.459890127270844	0.00773954473326854	0.0455108435818455
2410137M14Rik|cCREs108865	0.505574137914452	0.00392357263314191	0.0306888763111119
2510009E07Rik|cCREs98000	0.570100890890497	0.00137589785233916	0.0170258902818958
2510009E07Rik|cCREs98001	0.599561177235196	0.000823621437701205	0.0129915314640004
2510009E07Rik|cCREs98002	0.519891128989601	0.0031376318580113	0.0270164518292205
2810006K23Rik|cCREs193935	0.462740840381461	0.00742948444151614	0.0444633316972675
2810408A11Rik|cCREs42175	0.609182229651172	0.00069324505027546	0.0117547686274663
2810408A11Rik|cCREs42208	0.563542864436946	0.0015378172188748	0.0180691813772237
2810459M11Rik|cCREs8411	0.496875804370579	0.00448315148577771	0.033063984973744
3110009E18Rik|cCREs11239	0.621245294693171	0.000556688875890221	0.0104540374397521
3110009E18Rik|cCREs11240	0.576042003369589	0.00124281837624929	0.0161983215790755
3110009E18Rik|cCREs11280	0.589813304110976	0.000978406461663806	0.0141554229141511
3110009E18Rik|cCREs11303	0.474388522053507	0.00627343103319433	0.0402082347241516
3110009E18Rik|cCREs11306	0.461866755376495	0.00752337065307196	0.0447767637821516
4430402I18Rik|cCREs126983	0.501318488165171	0.00418901430393159	0.0318735380041878
4921536K21Rik|cCREs34832	0.49421807080365	0.00466780370253384	0.0337982350503605
4930402H24Rik|cCREs144243	0.529131693831689	0.00270874293630052	0.0248930225919699
4930402H24Rik|cCREs144286	0.521323780776189	0.00306736661291551	0.0267093033020071
4930452B06Rik|cCREs73674	0.5864955533602	0.00103690180975258	0.0146019977477307
4930452B06Rik|cCREs73690	0.791919400049666	1.6778706556253e-05	0.00289723065092085
4930455H04Rik|cCREs161363	0.599650540042479	0.000822313037611266	0.0129888892638499
4930455H04Rik|cCREs161370	0.694819402354521	0.000134816437134533	0.00532923225055886
4930455H04Rik|cCREs161387	0.827383525201565	7.3770786931382e-06	0.00223951500002241
4930455H04Rik|cCREs161392	0.472080648952016	0.00648894990111881	0.041017520777901
4930455H04Rik|cCREs161394	0.449795626635765	0.00893092844979615	0.0496026802361763
4930455H04Rik|cCREs161396	0.809532524182517	1.12017639252171e-05	0.00266677669014256
4930455H04Rik|cCREs161403	0.715123107694631	8.89640631558386e-05	0.00453052419807849
4930455H04Rik|cCREs161412	0.703664483991466	0.000112631990840217	0.00492774283766252
4930455H04Rik|cCREs161413	0.699639394262491	0.000122264859322985	0.00504548055872493
4930455H04Rik|cCREs161414	0.569681792544974	0.00138576019576919	0.0171004545806399
4930455H04Rik|cCREs161416	0.691252760942731	0.000144871083375797	0.00555540647916094
4930455H04Rik|cCREs161418	0.577689181039324	0.00120806654272476	0.0159506742876636
4930455H04Rik|cCREs161423	0.634059259608102	0.000439190625583952	0.00924055289799978
4930455H04Rik|cCREs161424	0.480686454432396	0.0057172100960009	0.0379785697909183
4930455H04Rik|cCREs161426	0.788935160527011	1.79532843547214e-05	0.00289723065092085
4930455H04Rik|cCREs161430	0.558516224620712	0.00167348841185799	0.0189634511267382
4930455H04Rik|cCREs161432	0.616575962618996	0.000606290618565208	0.0109454795373907
4930455H04Rik|cCREs161446	0.488795553577792	0.00506572358678636	0.0354466513021642
4930579G24Rik|cCREs157216	0.551484671229504	0.00188158636300784	0.0202863567668966
4931406P16Rik|cCREs214479	0.49940902709644	0.00431325095561574	0.0323530551029304
4931428L18Rik|cCREs2220	0.464934826427295	0.00719836009134267	0.0437036794012121
4931428L18Rik|cCREs2280	0.517086167103019	0.00327941244311858	0.0276648407073041
4933407L21Rik|cCREs8359	0.626134436091574	0.000508794041849114	0.00997644916337265
4933407L21Rik|cCREs8376	0.638249515042094	0.000406061525142443	0.00887817783697805
4933407L21Rik|cCREs8377	0.520178060189842	0.00312344419688082	0.0269590873298825
4933407L21Rik|cCREs8387	0.582067925501944	0.00111996500219935	0.0153092484043857
4933407L21Rik|cCREs8391	0.701854066269018	0.000116873026427933	0.00497827097850867
4933407L21Rik|cCREs8396	0.711261234418084	9.6361932104938e-05	0.00470686180561745
4933407L21Rik|cCREs8397	0.684574817151979	0.000165611779197494	0.00589450406225969
4933407L21Rik|cCREs8400	0.49822646943288	0.00439183422396539	0.0326873441164335
4933407L21Rik|cCREs8407	0.709904725323546	9.90949405998975e-05	0.00473960787841193
4933407L21Rik|cCREs8411	0.810463662571062	1.09625812302339e-05	0.00263356082090495
4933407L21Rik|cCREs8412	0.47572483741166	0.00615155897884412	0.0397468884056178
4933407L21Rik|cCREs8443	0.481067663488762	0.00568499276627976	0.0378700251856018
6430548M08Rik|cCREs236822	0.498355299469829	0.00438321156180654	0.0326645677175744
6430548M08Rik|cCREs236839	0.508371730419375	0.00375738643956103	0.0299442417065795
6430548M08Rik|cCREs236920	0.544500655432831	0.00211129531267673	0.0215592457730562
6430550D23Rik|cCREs147400	0.59547437236527	0.000885545620114114	0.0135579291913821
9130023H24Rik|cCREs222915	0.563500595563228	0.00153891498387981	0.0180740435140071
9530077C05Rik|cCREs239532	0.45320921022321	0.00851119713682025	0.0481708739922842
9930021J03Rik|cCREs127173	0.48760262131981	0.00515721600580799	0.0358165602001259
9930021J03Rik|cCREs127174	0.488025499234912	0.00512461630504135	0.0356739424953677
A230072I06Rik|cCREs225722	0.62621980017847	0.000507992744776531	0.00997241515237623
A230072I06Rik|cCREs225723	0.512394233606389	0.00352949378049783	0.0289377095374457
A230072I06Rik|cCREs225748	0.50397504269806	0.00402149415462427	0.0311189476748643
A230072I06Rik|cCREs225762	0.610395856260479	0.00067822521163019	0.0116415451543212
A230072I06Rik|cCREs225765	0.476609747145893	0.00607201394074675	0.0394774275781039
A230072I06Rik|cCREs225766	0.515958951941561	0.00333799362298159	0.0279759436993657
A230072I06Rik|cCREs225768	0.468715008939811	0.00681498629774413	0.0422249520307239
A230072I06Rik|cCREs225769	0.548294838110798	0.00198352629444742	0.020886899419773
A230072I06Rik|cCREs225773	0.550372341647633	0.00191658029294406	0.0204744011501733
A230072I06Rik|cCREs225774	0.547136251826365	0.00202177648775803	0.0210381786088796
A230072I06Rik|cCREs225776	0.468270412350517	0.00685911981565668	0.0423696014903955
