putative enhancer	module assignment
chr10:100030523-100031022|cCREs31421	M1
chr10:100210735-100211234|cCREs31446	M1
chr10:100423424-100423923|cCREs31454	M1
chr10:116403832-116404331|cCREs33064	M1
chr10:126905906-126906405|cCREs34341	M1
chr10:126928345-126928844|cCREs34345	M1
chr10:126979786-126980285|cCREs34359	M1
chr10:127078793-127079292|cCREs34375	M1
chr10:127162759-127163258|cCREs34389	M1
chr10:127500111-127500610|cCREs34454	M1
chr10:127509081-127509580|cCREs34455	M1
chr10:127509679-127510178|cCREs34456	M1
chr10:127661961-127662460|cCREs34493	M1
chr10:128195312-128195811|cCREs34554	M1
chr10:128409788-128410287|cCREs34581	M1
chr10:17908891-17909390|cCREs22083	M1
chr10:28251662-28252161|cCREs23399	M1
chr10:33540334-33540833|cCREs23819	M1
chr10:34186672-34187171|cCREs23877	M1
chr10:37140996-37141495|cCREs24017	M1
chr10:37348558-37349057|cCREs24050	M1
chr10:37397418-37397917|cCREs24061	M1
chr10:40639564-40640063|cCREs24442	M1
chr10:40673051-40673550|cCREs24450	M1
chr10:40716915-40717414|cCREs24459	M1
chr10:40844096-40844595|cCREs24485	M1
chr10:43106262-43106761|cCREs24785	M1
chr10:53462609-53463108|cCREs25577	M1
chr10:5550048-5550547|cCREs20665	M1
chr10:57795160-57795659|cCREs25935	M1
chr10:58848285-58848784|cCREs26038	M1
chr10:60133621-60134120|cCREs26299	M1
chr10:75558639-75559138|cCREs28154	M1
chr10:75667595-75668094|cCREs28170	M1
chr10:78482017-78482516|cCREs28603	M1
chr10:79695382-79695881|cCREs28665	M1
chr10:79803794-79804293|cCREs28687	M1
chr10:79997349-79997848|cCREs28727	M1
chr10:80053413-80053912|cCREs28739	M1
chr10:80131471-80131970|cCREs28751	M1
chr10:80142232-80142731|cCREs28757	M1
chr10:80149451-80149950|cCREs28760	M1
chr10:80159832-80160331|cCREs28765	M1
chr10:80167579-80168078|cCREs28768	M1
chr10:80298948-80299447|cCREs28790	M1
chr10:80676325-80676824|cCREs28844	M1
chr10:80774602-80775101|cCREs28861	M1
chr10:80807329-80807828|cCREs28871	M1
chr10:80928650-80929149|cCREs28886	M1
chr10:80999967-81000466|cCREs28904	M1
chr10:81001314-81001813|cCREs28905	M1
chr10:81021750-81022249|cCREs28912	M1
chr10:81136445-81136944|cCREs28926	M1
chr10:81137321-81137820|cCREs28927	M1
chr10:81192416-81192915|cCREs28937	M1
chr10:81268108-81268607|cCREs28949	M1
chr10:81401834-81402333|cCREs28971	M1
chr10:81416904-81417403|cCREs28978	M1
chr10:81430716-81431215|cCREs28983	M1
chr10:81433001-81433500|cCREs28985	M1
chr10:81472980-81473479|cCREs28993	M1
chr10:81560306-81560805|cCREs29008	M1
chr10:81571650-81572149|cCREs29011	M1
chr10:81643592-81644091|cCREs29024	M1
chr10:82639162-82639661|cCREs29037	M1
chr10:82661920-82662419|cCREs29042	M1
chr10:82680852-82681351|cCREs29047	M1
chr10:82858999-82859498|cCREs29069	M1
chr10:82860469-82860968|cCREs29070	M1
chr10:85388026-85388525|cCREs29445	M1
chr10:85625091-85625590|cCREs29478	M1
chr10:85651864-85652363|cCREs29481	M1
chr10:85871783-85872282|cCREs29488	M1
chr10:86501246-86501745|cCREs29604	M1
chr10:87486405-87486904|cCREs29711	M1
chr10:87860215-87860714|cCREs29755	M1
chr10:91170694-91171193|cCREs30182	M1
chr10:94545233-94545732|cCREs30612	M1
chr1:10141516-10142015|cCREs458	M1
chr1:109985574-109986073|cCREs10678	M1
chr11:100295377-100295876|cCREs45812	M1
chr11:100622796-100623295|cCREs45867	M1
chr11:100640167-100640666|cCREs45869	M1
chr11:101056923-101057422|cCREs45933	M1
chr11:101238180-101238679|cCREs45962	M1
chr11:101668235-101668734|cCREs46016	M1
chr11:102309048-102309547|cCREs46120	M1
chr11:102316744-102317243|cCREs46121	M1
chr11:102317717-102318216|cCREs46122	M1
chr11:102437704-102438203|cCREs46142	M1
chr11:102773919-102774418|cCREs46187	M1
chr11:103017050-103017549|cCREs46217	M1
chr11:103332670-103333169|cCREs46277	M1
chr11:103360311-103360810|cCREs46284	M1
chr11:103653485-103653984|cCREs46311	M1
chr11:103662705-103663204|cCREs46312	M1
chr11:103666281-103666780|cCREs46313	M1
chr11:103961393-103961892|cCREs46354	M1
chr11:104158000-104158499|cCREs46387	M1
chr11:105828267-105828766|cCREs46580	M1
chr11:105944157-105944656|cCREs46597	M1
chr11:106020475-106020974|cCREs46608	M1
chr11:106152228-106152727|cCREs46628	M1
chr11:106193663-106194162|cCREs46635	M1
chr11:106500725-106501224|cCREs46666	M1
chr11:106787531-106788030|cCREs46705	M1
chr11:115374234-115374733|cCREs47909	M1
